+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
| tv.megaplexbd.com                 | unresolvable    | error |
| tv.mtbsl.com                      | 188.165.204.31  |   A   |
| tv.mymoviebazar.com               | 67.227.226.240  | CNAME |
| tv.naturalbd.com                  | 103.43.148.145  |   A   |
| tv.netexpressbd.com               | 103.91.228.6    |   A   |
| tv.paitara.com                    | 172.67.134.41   |   A   |
| tv.pipexbd.com                    | unresolvable    | error |
| tv.rangdhanu.live                 | unresolvable    | error |
| tv.roarzone.info                  | 103.76.152.99   |   A   |
| tv.sunftp.com                     | 72.52.179.174   | CNAME |
| tv.tajpata.com                    | 103.14.129.246  |   A   |
| tv.watchonlinemovies24.com        | 69.16.230.42    | CNAME |
| tv2.ebox.live                     | 43.230.123.21   |   A   |
| tvbd.live                         | 199.59.242.153  |   A   |
| tvs.naturalbd.com                 | unresolvable    | error |
| ubnbd.com                         | 96.44.143.146   |   A   |
| unique24.net                      | 209.99.64.43    |   A   |
| uniquedownloadbd.com              | 144.91.95.186   |   A   |
| uniquenetbd.com                   | 162.213.255.51  |   A   |
| uplay.ubi.com                     | 54.76.127.21    | CNAME |
| uturnbd.live                      | 209.99.40.222   |   A   |
| utvbd.yolasite.com                | 104.16.163.215  |   A   |
| vdomela.com                       | 103.17.181.43   |   A   |
| vdonip.com                        | 67.227.226.240  |   A   |
| velocity.net.bd                   | 103.121.14.26   |   A   |
| videoelephantbd.com               | 167.114.82.182  |   A   |
| viewsportstv.com                  | unresolvable    | error |
| vootbd.live                       | 103.14.27.107   |   A   |
| watchliveall.com                  | 199.59.242.153  |   A   |
| webmail.ftpbd.net                 | 208.91.198.37   | CNAME |
| webrangers.net                    | 103.48.119.208  |   A   |
| wimsbd.com                        | 149.56.25.68    |   A   |
| winghd.com                        | 54.72.9.51      |   A   |
| worldwidetorrents.me              | 72.52.178.23    |   A   |
| www.1337x.to                      | 104.21.9.48     |   A   |
| www.abnctg.net                    | 172.217.194.121 | CNAME |
| www.agcommunication.net           | 104.243.33.120  | CNAME |
| www.alibabanetwork.net            | unresolvable    | error |
| www.alphabroadway.com             | 103.125.254.40  | CNAME |
| www.anosbd.com                    | 104.219.248.83  | CNAME |
| www.antbd.com                     | 103.237.37.180  | CNAME |
| www.antbd.net                     | 103.237.38.11   |   A   |
| www.anytv.live                    | 104.21.234.180  |   A   |
| www.applenetbd.com                | 95.215.225.11   | CNAME |
| www.arafnetbd.com                 | 135.181.76.226  | CNAME |
| www.area51bd.com                  | 72.52.179.174   | CNAME |
| www.asblink.net                   | 174.138.187.133 | CNAME |
| www.asianftp.com                  | 103.124.248.130 |   A   |
| www.avabdnet.com                  | 148.66.138.161  | CNAME |
| www.azibtorrent.com               | 209.99.64.43    |   A   |
| www.bdbroadband.com               | 209.126.10.44   | CNAME |
| www.bdfun.club                    | 192.168.92.2    | CNAME |
| www.bdhdmovies.com                | 185.107.56.55   |   A   |
| www.bdiptv.com                    | 172.67.163.168  |   A   |
| www.bdiptv.stream                 | 162.0.232.161   |   A   |
| www.bdix.org                      | 104.21.1.176    | error |
| www.bdixcommunity.com             | unresolvable    | error |
| www.bdixftp.com                   | 199.59.242.153  |   A   |
| www.bdixftp.us                    | 72.52.178.23    | CNAME |
| www.bdixmedia.com                 | 67.227.226.240  | CNAME |
| www.bdixsports.com                | 63.250.38.205   | CNAME |
| www.bdixtorrent.com               | unresolvable    | error |
| www.bdixtv.live                   | 172.20.1.1      |   A   |
| www.bdlan.net                     | 103.204.208.53  |   A   |
| www.bdplex.net                    | 172.31.255.254  |   A   |
| www.bdspeed.com                   | 199.59.242.153  |   A   |
| www.beaconlink.net                | 149.202.115.196 | CNAME |
| www.beeflix.biz                   | 162.144.19.47   |   A   |
| www.biggapan.tv                   | 69.16.230.42    | CNAME |
| www.bitnetbd.com                  | 173.249.5.110   | CNAME |
| www.bmnetworkbd.tk                | 172.217.194.121 | CNAME |
| www.bograonlinebd.com             | 209.151.194.137 | CNAME |
| www.bokashoka.com                 | 67.227.226.241  | CNAME |
| www.bolmovies.com                 | 213.186.33.87   |   A   |
| www.bossbd.net                    | 104.21.12.253   |   A   |
| www.Bossbd.net                    | 172.67.154.1    |   A   |
| www.brothersitbd.com              | 67.227.226.240  | CNAME |
| www.btekinternet.com              | 111.221.45.73   | CNAME |
| www.candybd.net                   | 103.144.48.90   | CNAME |
| www.channel                       | unresolvable    | error |
| www.chillbd.net                   | 2.2.2.2         | CNAME |
| www.cinebioscope.com              | 103.87.245.30   |   A   |
| www.cinehub24.com                 | 203.76.96.46    |   A   |
| www.citynet.live                  | 174.142.203.174 | CNAME |
| www.crazyhd.com                   | 104.21.235.30   |   A   |
| www.crazynetbd.com                | 209.236.117.239 | CNAME |
| www.crictime.nl                   | 172.67.150.21   |   A   |
| www.ctgflix.com                   | 103.121.220.2   |   A   |
| www.ctghall.com                   | 100.10.1.2      |   A   |
| www.ctghub.com                    | 103.121.14.14   |   A   |
| www.ctgiptv.com                   | 103.121.14.14   |   A   |
| www.ctgstream.com                 | 10.15.34.2      |   A   |
| www.ctgtel.net                    | 103.25.81.5     |   A   |
| www.cutercounter.com              | 47.88.102.103   |   A   |
| www.cybernetbd.com                | 172.67.173.148  |   A   |
| www.ddnbd.fun                     | 103.214.200.242 | CNAME |
| www.dekhvhai.com                  | 8.8.8.8         |   A   |
| www.dhakadownload.com             | 104.21.24.71    |   A   |
| www.dhakaftp.com                  | 103.205.233.70  |   A   |
| www.dhakamovie.com                | 103.237.37.181  | CNAME |
| www.didarit.com                   | 192.64.117.84   | CNAME |
| www.discoverynetbd.com            | 174.142.203.164 | CNAME |
| www.ditbd.net                     | 108.170.26.130  | CNAME |
| www.dnftpbd.com                   | 103.113.15.202  |   A   |
| www.dolyitcorner.net              | 192.185.108.67  | CNAME |
| www.dotinternetbd.com             | 59.153.100.67   |   A   |
| www.dreamonlinebd.com             | 144.208.125.220 | CNAME |
| www.e24.com.bd                    | 144.91.103.25   | CNAME |
| www.ebox.live                     | unresolvable    | error |
| www.ectlink.com                   | 103.13.133.34   |   A   |
| www.elaach.com                    | 10.200.1.162    |   A   |
| www.eolbd.com                     | 103.224.182.245 |   A   |
| www.evillagectg.com               | 194.59.164.137  | CNAME |
| www.evonetbd.com                  | 103.25.120.217  |   A   |
| www.fastcyber.net                 | 88.198.58.29    | CNAME |
| www.filmon.tv                     | 204.107.27.61   |   A   |
| www.flashnetbd.com                | 198.54.126.54   | CNAME |
| www.flixjar.com                   | 172.67.140.110  |   A   |
| www.flynetbd.com                  | 103.227.176.13  | CNAME |
| www.fnetctg.com                   | 96.125.165.96   | CNAME |
| www.fnfonlinebd.com               | 199.231.162.226 | CNAME |
| www.focusonlinectg.com            | 148.163.79.52   | CNAME |
| www.freedomonlinebd.com           | 198.54.126.47   | CNAME |
| www.freedownloadbd.com            | 172.17.172.242  | CNAME |
| www.freemediabd.com               | 124.6.236.254   | error |
| www.freetorrentbd.com             | 67.227.226.240  | CNAME |
| www.friendsonlinebd.com           | 172.67.178.53   |   A   |
| www.ftp2web.com                   | 103.59.179.46   |   A   |
| www.ftpbd.com                     | 192.185.167.136 | CNAME |
| www.ftpbd.net                     | 103.58.73.8     |   A   |
| www.funtimebd.com                 | 103.71.40.102   | error |
| www.furiousnet.net                | 203.96.189.2    |   A   |
| www.gamespark.ga                  | unresolvable    | error |
| www.gamewala.net                  | unresolvable    | error |
| www.genvideos.org                 | 104.21.78.158   |   A   |
| www.gnetinternet.com              | 3.223.115.185   | CNAME |
| www.gnetworkbd.com                | 136.243.219.85  | CNAME |
| www.httpbd.com                    | 10.254.254.18   | CNAME |
| www.iflix.com                     | 118.214.167.65  | CNAME |
| www.ihub.live                     | 172.67.172.30   |   A   |
| www.intrepidbd.com                | 182.16.156.10   | CNAME |
| www.itcnbd.com                    | 103.148.14.6    | CNAME |
| www.jagobd.com                    | 172.67.217.45   |   A   |
| www.jalshaghor.com                | 103.78.52.27    |   A   |
| www.jananibd.com                  | 104.21.20.17    |   A   |
| www.jhalmuri.com                  | unresolvable    | error |
| www.join4films.com                | 213.186.33.87   |   A   |
| www.kaat.pw                       | 103.107.160.36  |   A   |
| www.kachajhal.com                 | 209.99.64.43    |   A   |
| www.kalponik.net.bd               | unresolvable    | error |
| www.kazinetwork.net               | 5.77.32.134     | CNAME |
| www.linkinnet.net                 | 103.204.208.53  |   A   |
| www.livebd.ml                     | unresolvable    | error |
| www.liveiccworldcup.com           | 34.102.136.180  | CNAME |
| www.lizaonlinebd.com              | 192.99.9.146    | CNAME |
| www.mariumnetwork.com             | 172.67.169.160  | CNAME |
| www.mayasoftbd.net                | 66.165.253.235  | CNAME |
| www.mazedanetworks.net            | 107.167.88.26   |   A   |
| www.mcnbd.com                     | 103.52.134.52   |   A   |
| www.megabitnetwork.net            | 178.238.236.198 | CNAME |
| www.megaplexbd.com                | unresolvable    | error |
| www.midiplex.net                  | 184.168.131.241 | CNAME |
| www.mirpurtech.com                | 149.202.115.196 | CNAME |
| www.mixonbd.com                   | 64.188.2.228    | CNAME |
| www.mojaloss.net                  | 5.79.102.193    | CNAME |
| www.mojaloss.stream               | 172.67.135.160  |   A   |
| www.moneybag.me                   | 67.227.226.240  | CNAME |
| www.movieboxbd.com                | 10.242.242.11   |   A   |
| www.moviedaba.com                 | 198.58.118.167  |   A   |
| www.moviemela.live                | 103.78.160.2    | CNAME |
| www.moviemoza.com                 | 103.224.182.245 |   A   |
| www.moviepoka.com                 | 67.227.226.241  | CNAME |
| www.movieserver.net               | 103.121.14.14   |   A   |
| www.mozbd.com                     | 70.32.1.32      |   A   |
| www.mycybernest.com               | 23.95.217.2     | CNAME |
| www.nagordola.com.bd              | 103.106.238.74  | CNAME |
| www.naturalbd.com                 | 103.43.148.72   |   A   |
| www.neobd.net                     | 103.91.231.138  |   A   |
| www.netathomebd.com               | 103.134.200.238 |   A   |
| www.netcitybd.com                 | 68.65.120.92    | CNAME |
| www.netexpressbd.com              | 103.91.228.10   |   A   |
| www.netinfobd.com                 | 185.53.177.10   |   A   |
| www.netmatrixbd.com               | 45.114.88.66    |   A   |
| www.netonlinebd.com               | 23.229.104.50   | CNAME |
| www.netplusbd.com                 | 139.5.134.254   | CNAME |
| www.newtvworld.com                | 198.54.117.199  |   A   |
| www.novusnetworkbd.com            | 135.181.53.124  | CNAME |
| www.nowhdtime.com                 | 67.227.226.240  | CNAME |
| www.oceanofgames.com              | 87.120.36.72    |   A   |
| www.oitbd.net                     | 198.54.116.132  | CNAME |
| www.onlinecricketvideo.com        | 172.67.177.137  |   A   |
| www.onnosomoy.com                 | 103.38.16.74    |   A   |
| www.ontohinbd.com                 | unresolvable    | error |
| www.opnsports.com.pk              | 104.21.23.234   |   A   |
| www.origin.com                    | 23.9.188.188    | CNAME |
| www.paitara.com                   | 172.67.134.41   |   A   |
| www.pandaclubbd.com               | 117.103.80.91   |   A   |
| www.plus.net.bd                   | 103.111.225.4   |   A   |
| www.poshbd.net                    | 72.11.134.186   | CNAME |
| www.powernetbd.com                | 209.236.117.239 | CNAME |
| www.quickonlineftp.com            | 59.152.107.140  | CNAME |
| www.rabbitholebd.com              | 13.224.249.11   |   A   |
| www.radiantbd.net                 | 122.102.32.229  |   A   |
| www.rangdhanu.live                | 220.158.207.136 |   A   |
| www.Rarbg.to                      | 185.37.100.122  |   A   |
| www.rdconlinebd.net               | 103.48.119.247  | CNAME |
| www.rejetto.com                   | 185.20.49.7     |   A   |
| www.roarzone.info                 | 103.147.182.74  | CNAME |
| www.runwaybroadband.com           | 43.245.118.2    | CNAME |
| www.seehd.uno                     | 104.21.39.65    |   A   |
| www.showtimebd.com                | 103.77.252.113  |   A   |
| www.sknetcity.com                 | 67.222.155.191  | CNAME |
| www.skybdlive.com                 | 67.227.226.240  | CNAME |
| www.skybizbd.net                  | 192.185.118.78  | CNAME |
| www.skylinectg.com                | 111.221.46.183  | CNAME |
| www.skynet.com.bd                 | 192.185.157.83  | CNAME |
| www.skynetbd.net                  | 88.198.58.29    | CNAME |
| www.smartflix.digital             | 203.80.191.6    |   A   |
| www.smartnetltd.com               | 160.202.128.50  |   A   |
| www.smartstudio.digital           | 203.80.191.6    |   A   |
| www.smiritycable.com              | 198.54.120.206  | CNAME |
| www.speedplusisp.net              | 103.48.119.207  | CNAME |
| www.sreejononline.com             | 104.21.60.212   |   A   |
| www.starflixbd.com                | 198.54.115.52   | CNAME |
| www.starnetworkbd.com             | 103.199.168.2   |   A   |
| www.swiftnetbd.com                | 103.48.119.185  |   A   |
| www.tajpata.com                   | 103.14.129.246  |   A   |
| www.takerhatwifi.com              | 149.202.115.196 | CNAME |
| www.techmediatune.com             | 5.189.135.86    | CNAME |
| www.tetrasoftbd.com               | 45.114.88.66    | CNAME |
| www.theintrovision.com            | 23.29.122.195   | CNAME |
| www.thenetheads.com               | 45.114.88.66    | CNAME |
| www.timepassbd.com                | 69.16.231.151   | CNAME |
| www.timepassbd.live               | 103.200.36.250  |   A   |
| www.tnetftp.com                   | 146.196.48.9    | CNAME |
| www.torrentbd.com                 | 91.134.217.233  | CNAME |
| www.Torrentz2.eu                  | unresolvable    | error |
| www.tufan.live                    | 103.251.247.107 | CNAME |
| www.tv24bd.com                    | 35.186.238.101  |   A   |
| www.uniqueonlinebd.com            | 135.181.76.226  | CNAME |
| www.univisionbd.net               | 67.227.226.240  | CNAME |
| www.updatenetworkbd.com           | 144.91.103.25   | CNAME |
| www.vcbd.net                      | 104.156.49.206  | CNAME |
| www.vibebd.com                    | 46.4.81.79      | CNAME |
| www.webfreecounter.com            | 47.88.102.103   |   A   |
| www.winneritbd.com                | 198.54.115.10   | CNAME |
| www.worldbd.net                   | 23.29.122.187   | CNAME |
| www.xplorenetbd.com               | 103.237.38.212  | CNAME |
| www.yellownetbd.com               | 162.0.232.71    | CNAME |
| www.YTS.ag                        | 172.67.202.48   |   A   |
| www.zeroftp.cf                    | unresolvable    | error |
| www.zerooneonline.net             | unresolvable    | error |
| www.zipcyber.com                  | 104.243.33.122  | CNAME |
| www.zipnetbd.com                  | 209.58.168.119  | CNAME |
| www.zxonlinebd.com                | 103.19.252.10   | CNAME |
| www1.cricbox.net                  | 69.16.230.42    | CNAME |
| www1.putlockers.cafe              | unresolvable    | error |
| www4.fmovies.to                   | 172.64.199.25   |   A   |
| www9.fmovies.to                   | 172.64.199.25   |   A   |
| xenialbb.net                      | 103.195.204.3   |   A   |
| xmovies8.org                      | 69.16.231.150   |   A   |
| xpress.ltd                        | 103.43.148.72   |   A   |
| yamgo.com                         | 160.153.138.219 |   A   |
| yesmovies.to                      | 172.67.192.138  |   A   |
| yesnetcommunication.com           | 209.236.117.239 |   A   |
| yournetcommunications.net         | 198.54.126.47   |   A   |
| zerodollarmovies.com              | 208.97.169.138  |   A   |
| zoomonline.com.bd                 | 103.48.119.87   |   A   |
| zoomonlinebd.net                  | 103.48.119.67   |   A   |
+-----------------------------------+-----------------+-------+
