+-----------------------------------+-----------------+-------+
| Hostname                          | IP              | RType |
| cricbox.net                       | 69.16.230.42    |   A   |
| cricfree.tv                       | 185.233.186.104 |   A   |
| cricsports.sx                     | 199.59.242.153  |   A   |
| ctgfun.com                        | unresolvable    | error |
| ctghub.com                        | 103.121.14.14   |   A   |
| ctgmovies.com                     | 103.214.200.242 |   A   |
| ctgoz.com                         | 209.222.97.206  |   A   |
| cueclub.com.bd                    | 192.249.118.137 |   A   |
| cybernetcommunications.net        | 103.227.176.20  |   A   |
| data.kenecolor.com                | 103.214.200.94  |   A   |
| dav.ftpbd.net                     | 208.91.198.200  | CNAME |
| db1.moviebox.com                  | 66.254.114.234  |   A   |
| ddn.oncast.me                     | 172.20.1.6      |   A   |
| ddnbd.com                         | 209.236.117.239 |   A   |
| dekhobd.com                       | 172.67.162.72   |   A   |
| dekhvhai.com                      | 8.8.8.8         |   A   |
| deshonlinebd.com                  | 185.61.154.39   |   A   |
| desihdmovies.me                   | 198.54.117.197  |   A   |
| dewan.live                        | unresolvable    | error |
| dflix.discoveryftp.net            | 103.120.165.196 |   A   |
| dflix.live                        | 59.153.100.250  |   A   |
| dhakaftp.com                      | 103.205.233.70  |   A   |
| dhakaiptv.com                     | 50.87.153.183   |   A   |
| dhakamovie.com                    | 103.237.37.181  |   A   |
| dhakasports.com                   | 192.157.56.139  |   A   |
| digbazi.net                       | 103.80.70.60    |   A   |
| diginetbd.net                     | 202.191.120.13  |   A   |
| digitalbroadband.com.bd           | 88.198.58.29    |   A   |
| digitalduniya.net                 | 107.180.38.222  |   A   |
| discoveryftp.net                  | 172.16.16.16    |   A   |
| ditbd.net                         | 108.170.26.130  |   A   |
| dl.bitnetbd.com                   | 103.89.24.18    |   A   |
| dnetbd.com                        | 104.21.18.246   |   A   |
| dnetdrive.com                     | 103.76.196.90   |   A   |
| dnftpbd.com                       | 103.113.15.202  |   A   |
| download.ectlink.com              | unresolvable    | error |
| download.tetrasoftbd.com          | unresolvable    | error |
| dreamnetbd.com                    | 23.250.95.106   |   A   |
